ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,289467,1011300,156950,2024-02-25T09:29:38Z
2024-02-25 17:00:15,293805,1024865,159021,2024-02-25T10:05:51Z
2024-02-25 18:00:15,295440,1030388,159917,2024-02-25T11:05:26Z
2024-02-25 19:00:15,296487,1034522,160617,2024-02-25T12:07:23Z
2024-02-25 20:00:16,297162,1036556,160972,2024-02-25T13:05:58Z
2024-02-25 21:00:15,300532,1046712,162267,2024-02-25T14:05:50Z
2024-02-25 22:00:15,302059,1051381,163007,2024-02-25T15:05:30Z
2024-02-25 23:00:15,303528,1055639,163574,2024-02-25T16:06:34Z
2024-02-26 00:00:15,303528,1055639,163574,2024-02-25T17:05:52Z
2024-02-26 01:00:15,303528,1055639,163574,2024-02-25T18:05:47Z
2024-02-26 02:00:15,303528,1055639,163574,2024-02-25T19:05:50Z
2024-02-26 03:00:15,303744,1056363,163609,2024-02-25T20:05:34Z
2024-02-26 04:00:15,303744,1056363,163609,2024-02-25T21:05:35Z
2024-02-26 05:00:15,303744,1056363,163609,2024-02-25T22:05:44Z
2024-02-26 06:00:15,303744,1056363,163609,2024-02-25T23:05:52Z
2024-02-26 07:00:16,303744,1056363,163609,2024-02-26T00:21:11Z
2024-02-26 08:00:15,303671,1056375,163513,2024-02-26T01:27:16Z
2024-02-26 09:00:15,303837,1057110,163602,2024-02-26T02:12:19Z
2024-02-26 10:00:15,304669,1059983,164201,2024-02-26T03:06:26Z
2024-02-26 11:00:16,304844,1060126,164151,2024-02-26T04:06:03Z
2024-02-26 12:00:15,305969,1064316,164930,2024-02-26T05:06:08Z
2024-02-26 13:00:15,306158,1065320,165135,2024-02-26T06:06:48Z
