ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,775373,2848305,477167,2024-02-25T09:29:38Z
2024-02-25 17:00:15,781482,2867346,480346,2024-02-25T10:05:51Z
2024-02-25 18:00:15,787848,2884548,483084,2024-02-25T11:05:26Z
2024-02-25 19:00:15,790275,2891129,484243,2024-02-25T12:07:23Z
2024-02-25 20:00:16,792666,2897617,485221,2024-02-25T13:05:58Z
2024-02-25 21:00:15,801841,2922624,490341,2024-02-25T14:05:50Z
2024-02-25 22:00:15,807629,2940277,493071,2024-02-25T15:05:30Z
2024-02-25 23:00:15,810509,2947786,494352,2024-02-25T16:06:34Z
2024-02-26 00:00:15,810707,2948800,494560,2024-02-25T17:05:52Z
2024-02-26 01:00:15,810707,2948800,494560,2024-02-25T18:05:47Z
2024-02-26 02:00:15,810707,2948800,494560,2024-02-25T19:05:50Z
2024-02-26 03:00:15,810707,2948800,494560,2024-02-25T20:05:34Z
2024-02-26 04:00:15,810707,2948800,494560,2024-02-25T21:05:35Z
2024-02-26 05:00:15,810707,2948800,494560,2024-02-25T22:05:44Z
2024-02-26 06:00:15,810707,2948800,494560,2024-02-25T23:05:52Z
2024-02-26 07:00:16,810707,2948800,494560,2024-02-26T00:21:11Z
2024-02-26 08:00:15,810707,2948800,494560,2024-02-26T01:27:16Z
2024-02-26 09:00:15,810877,2949301,494655,2024-02-26T02:12:19Z
2024-02-26 10:00:15,810870,2949093,494623,2024-02-26T03:06:26Z
2024-02-26 11:00:16,811614,2951831,494855,2024-02-26T04:06:03Z
2024-02-26 12:00:15,813167,2956261,495785,2024-02-26T05:06:08Z
2024-02-26 13:00:15,813964,2957834,496120,2024-02-26T06:06:48Z
2024-02-26 14:00:15,816248,2964478,497294,2024-02-26T07:06:18Z
2024-02-26 15:00:15,816455,2965245,497371,2024-02-26T08:06:49Z
2024-02-26 16:00:15,817200,2967824,497615,2024-02-26T09:06:01Z
2024-02-26 17:00:20,817377,2968351,497668,2024-02-26T10:06:11Z
2024-02-26 18:00:15,817362,2968277,497633,2024-02-26T11:05:35Z
2024-02-26 19:00:15,817664,2969311,497715,2024-02-26T12:07:54Z
2024-02-26 20:00:15,817665,2969202,497674,2024-02-26T13:05:51Z
2024-02-26 21:00:15,817738,2969767,497750,2024-02-26T14:06:04Z
2024-02-26 22:00:15,817960,2970326,497810,2024-02-26T15:06:08Z
2024-02-26 23:00:16,817994,2970526,497843,2024-02-26T16:06:24Z
2024-02-27 00:00:15,817994,2970526,497843,2024-02-26T17:05:57Z
2024-02-27 01:00:16,818086,2970853,497920,2024-02-26T18:06:13Z
2024-02-27 02:00:15,818086,2970853,497920,2024-02-26T19:05:55Z
2024-02-27 03:00:15,818086,2970853,497920,2024-02-26T20:06:02Z
2024-02-27 04:00:15,818086,2970853,497920,2024-02-26T21:06:03Z
2024-02-27 05:00:16,818086,2970853,497920,2024-02-26T22:06:49Z
2024-02-27 06:00:15,818086,2970853,497920,2024-02-26T23:06:09Z
2024-02-27 07:00:15,817980,2970331,497849,2024-02-27T00:20:12Z
2024-02-27 08:00:15,817980,2970331,497849,2024-02-27T01:25:16Z
2024-02-27 09:00:15,817980,2970331,497849,2024-02-27T02:09:55Z
2024-02-27 10:00:16,817870,2970044,497801,2024-02-27T03:05:50Z
2024-02-27 11:00:16,817961,2970351,497757,2024-02-27T04:06:44Z
2024-02-27 12:00:15,817954,2970228,497701,2024-02-27T05:06:51Z
