ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,11794,39018,32658,18832,22468,2542,3439,32544,3793,3135,1350,44054,1141,19901,5915,6546,4971,510
2024-02-25 23:07:04,2024-02-25T17:05:52Z,11794,39018,32658,18832,22468,2542,3439,32544,3793,3135,1350,44054,1141,19901,5915,6546,4971,510
2024-02-26 00:07:05,2024-02-25T18:05:47Z,11794,39018,32658,18832,22468,2542,3439,32544,3793,3135,1350,44054,1141,19901,5991,6546,4971,510
2024-02-26 01:07:03,2024-02-25T19:05:50Z,11808,39025,32662,18836,22497,2549,3440,32581,3793,3137,1351,44075,1143,19902,5993,6546,4972,510
2024-02-26 02:07:02,2024-02-25T20:05:34Z,11808,39025,32662,18836,22497,2549,3440,32581,3793,3137,1351,44075,1143,19902,5993,6546,4972,510
2024-02-26 03:07:03,2024-02-25T21:05:35Z,11808,39025,32662,18836,22497,2549,3440,32581,3793,3137,1351,44075,1143,19902,5993,6546,4972,510
2024-02-26 04:07:29,2024-02-25T22:05:44Z,11808,39025,32662,18836,22497,2549,3440,32581,3793,3137,1351,44075,1143,19902,5993,6546,4972,510
2024-02-26 05:07:04,2024-02-25T23:05:52Z,11808,39025,32662,18836,22497,2549,3440,32581,3793,3137,1351,44075,1143,19902,5993,6546,4972,510
2024-02-26 06:07:03,2024-02-26T00:21:11Z,11808,39025,32662,18836,22497,2549,3440,32581,3793,3137,1351,44075,1143,19902,5993,6546,4972,510
2024-02-26 07:07:03,2024-02-26T01:27:16Z,11822,39052,32683,18842,22501,2549,3441,32582,3795,3137,1351,44128,1143,19929,5993,6548,4972,510
2024-02-26 08:07:03,2024-02-26T02:12:19Z,11822,39052,32683,18842,22501,2549,3441,32582,3795,3137,1351,44128,1143,19929,5993,6548,4972,510
2024-02-26 09:07:03,2024-02-26T03:06:26Z,11825,39072,32686,18848,22562,2554,3443,32695,3797,3143,1353,44208,1146,19963,5997,6548,4989,511
2024-02-26 10:07:15,2024-02-26T04:06:03Z,11833,39155,32710,18885,22622,2556,3446,32843,3801,3149,1356,44279,1152,19986,6004,6552,4994,511
2024-02-26 11:07:10,2024-02-26T05:06:08Z,11860,39257,32729,18831,22781,2566,3471,33082,3808,3160,1363,44638,1154,19991,6068,6559,5008,515
2024-02-26 12:07:11,2024-02-26T06:06:48Z,11863,39259,32731,18877,22793,2566,3478,33123,3808,3162,1363,44670,1155,19996,6068,6559,5010,516
