ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,719131,3213405,700125,2024-02-25T09:29:38Z
2024-02-25 17:00:15,720731,3220113,701455,2024-02-25T10:05:51Z
2024-02-25 18:00:15,722075,3224906,702313,2024-02-25T11:05:26Z
2024-02-25 19:00:15,722083,3225902,702328,2024-02-25T12:07:23Z
2024-02-25 20:00:16,722169,3226516,702513,2024-02-25T13:05:58Z
2024-02-25 21:00:15,723450,3231027,703455,2024-02-25T14:05:50Z
2024-02-25 22:00:15,724739,3235078,704049,2024-02-25T15:05:30Z
2024-02-25 23:00:15,725109,3236358,704325,2024-02-25T16:06:34Z
2024-02-26 00:00:15,725173,3236485,704372,2024-02-25T17:05:52Z
2024-02-26 01:00:15,725173,3236485,704372,2024-02-25T18:05:47Z
2024-02-26 02:00:15,725312,3237098,704446,2024-02-25T19:05:50Z
2024-02-26 03:00:15,725312,3237098,704446,2024-02-25T20:05:34Z
2024-02-26 04:00:15,725312,3237098,704446,2024-02-25T21:05:35Z
2024-02-26 05:00:15,725312,3237098,704446,2024-02-25T22:05:44Z
2024-02-26 06:00:15,725312,3237098,704446,2024-02-25T23:05:52Z
2024-02-26 07:00:16,725346,3237473,704556,2024-02-26T00:21:11Z
2024-02-26 08:00:15,725346,3237473,704556,2024-02-26T01:27:16Z
2024-02-26 09:00:15,725346,3237473,704556,2024-02-26T02:12:19Z
2024-02-26 10:00:15,725496,3237803,704627,2024-02-26T03:06:26Z
2024-02-26 11:00:16,725907,3239599,705069,2024-02-26T04:06:03Z
2024-02-26 12:00:15,726805,3242437,705529,2024-02-26T05:06:08Z
2024-02-26 13:00:15,727153,3243674,705980,2024-02-26T06:06:48Z
2024-02-26 14:00:15,727297,3244055,705979,2024-02-26T07:06:18Z
2024-02-26 15:00:15,727828,3246679,706535,2024-02-26T08:06:49Z
2024-02-26 16:00:15,727986,3246952,706646,2024-02-26T09:06:01Z
2024-02-26 17:00:20,728016,3247152,706632,2024-02-26T10:06:11Z
2024-02-26 18:00:15,728070,3247537,706661,2024-02-26T11:05:35Z
2024-02-26 19:00:15,728179,3247605,706597,2024-02-26T12:07:54Z
2024-02-26 20:00:15,728116,3247545,706531,2024-02-26T13:05:51Z
2024-02-26 21:00:15,728295,3247956,706728,2024-02-26T14:06:04Z
2024-02-26 22:00:15,729265,3250959,707376,2024-02-26T15:06:08Z
2024-02-26 23:00:16,729119,3250049,707240,2024-02-26T16:06:24Z
2024-02-27 00:00:15,728887,3248892,707023,2024-02-26T17:05:57Z
2024-02-27 01:00:16,728868,3248626,706889,2024-02-26T18:06:13Z
2024-02-27 02:00:15,728840,3248444,706886,2024-02-26T19:05:55Z
2024-02-27 03:00:15,728840,3248444,706886,2024-02-26T20:06:02Z
2024-02-27 04:00:15,728840,3248444,706886,2024-02-26T21:06:03Z
2024-02-27 05:00:16,728840,3248444,706886,2024-02-26T22:06:49Z
2024-02-27 06:00:15,728840,3248444,706886,2024-02-26T23:06:09Z
2024-02-27 07:00:15,728836,3248314,706807,2024-02-27T00:20:12Z
2024-02-27 08:00:15,728817,3248186,706760,2024-02-27T01:25:16Z
2024-02-27 09:00:15,728736,3248079,706736,2024-02-27T02:09:55Z
2024-02-27 10:00:16,728527,3248049,706735,2024-02-27T03:05:50Z
2024-02-27 11:00:16,728438,3247716,706733,2024-02-27T04:06:44Z
2024-02-27 12:00:15,728429,3247772,706739,2024-02-27T05:06:51Z
2024-02-27 13:00:15,728251,3247534,706681,2024-02-27T06:06:32Z
2024-02-27 14:00:15,728317,3247687,706698,2024-02-27T07:06:22Z
2024-02-27 15:00:15,728124,3247069,706662,2024-02-27T08:06:31Z
2024-02-27 16:00:16,728138,3246765,706573,2024-02-27T09:05:46Z
2024-02-27 17:00:16,728091,3246481,706570,2024-02-27T10:06:21Z
2024-02-27 18:00:16,728158,3246609,706596,2024-02-27T11:05:40Z
2024-02-27 19:00:15,728184,3246616,706572,2024-02-27T12:07:29Z
2024-02-27 20:00:15,728155,3246242,706432,2024-02-27T13:05:33Z
2024-02-27 21:00:19,727730,3245302,706263,2024-02-27T14:05:54Z
2024-02-27 22:00:15,729617,3252841,708013,2024-02-27T15:05:47Z
2024-02-27 23:00:16,729878,3253955,708300,2024-02-27T16:06:04Z
2024-02-28 00:00:15,730300,3254885,708537,2024-02-27T17:06:35Z
2024-02-28 01:00:15,730193,3254767,708516,2024-02-27T18:06:47Z
2024-02-28 02:00:15,730193,3254767,708516,2024-02-27T19:05:48Z
2024-02-28 03:00:15,730193,3254767,708516,2024-02-27T20:06:06Z
2024-02-28 04:00:15,730193,3254767,708516,2024-02-27T21:05:30Z
2024-02-28 05:00:15,730193,3254767,708516,2024-02-27T22:05:59Z
2024-02-28 06:00:16,730193,3254767,708516,2024-02-27T23:05:55Z
2024-02-28 07:00:15,730193,3254767,708516,2024-02-28T00:19:26Z
2024-02-28 08:00:15,730193,3254767,708516,2024-02-28T01:25:48Z
2024-02-28 09:00:15,730167,3254652,708467,2024-02-28T02:10:45Z
2024-02-28 10:00:15,730147,3254399,708384,2024-02-28T03:05:55Z
2024-02-28 11:00:15,730259,3254608,708446,2024-02-28T04:06:56Z
2024-02-28 12:00:15,730217,3254519,708440,2024-02-28T05:05:58Z
2024-02-28 13:00:16,730197,3254175,708404,2024-02-28T06:06:22Z
2024-02-28 14:00:16,729960,3253169,708044,2024-02-28T07:05:48Z
2024-02-28 15:00:15,729956,3252444,707934,2024-02-28T08:06:54Z
2024-02-28 16:00:15,729730,3251227,707639,2024-02-28T09:06:01Z
2024-02-28 17:00:16,729663,3250945,707501,2024-02-28T10:05:45Z
2024-02-28 18:00:15,729572,3250564,707442,2024-02-28T11:05:50Z
2024-02-28 19:00:15,730650,3254788,708149,2024-02-28T12:07:55Z
2024-02-28 20:00:15,730830,3255976,708391,2024-02-28T13:05:39Z
2024-02-28 21:00:15,730678,3255644,708253,2024-02-28T14:05:39Z
2024-02-28 22:00:15,730591,3255231,708173,2024-02-28T15:06:06Z
2024-02-28 23:00:15,730521,3254838,708136,2024-02-28T16:06:02Z
2024-02-29 00:00:16,730450,3254683,708141,2024-02-28T17:05:52Z
2024-02-29 01:00:15,730452,3254716,708137,2024-02-28T18:05:57Z
2024-02-29 02:00:15,730380,3254280,708043,2024-02-28T19:05:41Z
2024-02-29 03:00:15,730420,3254188,708059,2024-02-28T20:06:20Z
2024-02-29 04:00:15,730420,3254188,708059,2024-02-28T21:05:56Z
2024-02-29 05:00:16,730420,3254188,708059,2024-02-28T22:05:46Z
2024-02-29 06:00:15,730420,3254188,708059,2024-02-28T23:06:34Z
2024-02-29 07:00:15,730420,3254188,708059,2024-02-29T00:20:10Z
2024-02-29 08:00:15,730420,3254188,708059,2024-02-29T01:25:39Z
2024-02-29 09:00:15,730419,3254115,708022,2024-02-29T02:09:35Z
2024-02-29 10:00:15,730500,3254222,708046,2024-02-29T03:05:59Z
2024-02-29 11:00:15,730500,3254222,708046,2024-02-29T04:06:44Z
