ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,123760,134843,177786,192559,99338,7319,13268,57976,3750,7974,4612,96662,3774,113052,23396,16374,32730,5369
2024-02-25 23:07:04,2024-02-25T17:05:52Z,123773,134863,177833,192719,99365,7326,13274,57989,3752,7980,4612,96783,3775,113066,23400,16377,32758,5371
2024-02-26 00:07:05,2024-02-25T18:05:47Z,123774,134933,178099,192813,99386,7328,13276,58035,3756,7981,4611,96810,3776,113090,23626,16383,32744,5372
2024-02-26 01:07:03,2024-02-25T19:05:50Z,123788,134940,178107,192894,99389,7328,13279,58046,3756,7983,4613,96818,3776,113105,23792,16383,32769,5372
2024-02-26 02:07:02,2024-02-25T20:05:34Z,123788,134940,178107,192894,99389,7328,13279,58046,3756,7983,4613,96818,3776,113105,23872,16383,32769,5372
2024-02-26 03:07:03,2024-02-25T21:05:35Z,123788,134940,178107,192894,99389,7328,13279,58046,3756,7983,4613,96818,3776,113105,23872,16383,32769,5372
2024-02-26 04:07:29,2024-02-25T22:05:44Z,123788,134940,178107,192894,99389,7328,13279,58046,3756,7983,4613,96818,3776,113105,24041,16383,32769,5372
2024-02-26 05:07:04,2024-02-25T23:05:52Z,123788,134940,178107,192894,99389,7328,13279,58046,3756,7983,4613,96818,3776,113105,24093,16383,32769,5372
2024-02-26 06:07:03,2024-02-26T00:21:11Z,123788,134940,178107,192894,99389,7328,13279,58046,3756,7983,4613,96818,3776,113105,24093,16383,32769,5372
2024-02-26 07:07:03,2024-02-26T01:27:16Z,123808,134949,178124,192934,99405,7329,13281,58050,3757,7983,4613,96872,3778,113118,24094,16383,32776,5373
2024-02-26 08:07:03,2024-02-26T02:12:19Z,123824,134971,178215,193028,99435,7335,13281,58062,3759,7983,4616,96943,3788,113133,24096,16383,32778,5374
2024-02-26 09:07:03,2024-02-26T03:06:26Z,123832,135033,178251,193049,99502,7335,13281,58064,3759,7983,4617,96951,3788,113144,24098,16386,32780,5374
2024-02-26 10:07:15,2024-02-26T04:06:03Z,123961,135198,178437,193156,99716,7338,13289,58115,3762,7991,4624,97121,3790,113294,24109,16410,32817,5382
2024-02-26 11:07:10,2024-02-26T05:06:08Z,123998,135343,178500,193211,99751,7342,13290,58138,3764,7991,4626,97229,3791,113312,24110,16426,32833,5386
2024-02-26 12:07:11,2024-02-26T06:06:48Z,124085,135409,178702,193476,99910,7347,13298,58197,3766,7994,4629,97409,3796,113489,24085,16430,32844,5386
2024-02-26 13:07:16,2024-02-26T07:06:18Z,124085,135409,178702,193476,99910,7347,13298,58197,3766,7994,4629,97409,3796,113489,24085,16430,32844,5386
2024-02-26 14:07:09,2024-02-26T08:06:49Z,124092,135424,178731,193509,99918,7348,13301,58203,3768,7995,4629,97619,3796,113535,24154,16430,32845,5386
2024-02-26 15:07:08,2024-02-26T09:06:01Z,124095,135440,178758,193540,99921,7354,13301,58217,3768,7996,4630,97652,3797,113582,24162,16435,32858,5387
2024-02-26 16:07:21,2024-02-26T10:06:11Z,124398,135642,179019,193748,100043,7364,13330,58261,3768,8008,4632,97757,3798,113701,24317,16448,32994,5397
2024-02-26 17:07:17,2024-02-26T11:05:35Z,124686,135869,179423,194266,100230,7444,13462,58346,3775,8029,4644,98122,3812,114486,24338,16485,33062,5397
2024-02-26 18:07:10,2024-02-26T12:07:54Z,124747,135936,179565,194393,100635,7453,13551,58372,3778,8032,4650,98273,3814,114546,24343,16495,33088,5403
2024-02-26 19:07:11,2024-02-26T13:05:51Z,124800,136040,179814,194491,100747,7455,13632,58406,3778,8041,4654,98423,3817,114680,24350,16515,33111,5407
2024-02-26 20:07:14,2024-02-26T14:06:04Z,124948,136087,179967,194581,100958,7463,14007,58447,3778,8045,4662,98479,3822,114799,24352,16522,33134,5408
2024-02-26 21:07:14,2024-02-26T15:06:08Z,125080,136162,180127,195015,101117,7469,14020,58481,3781,8053,4668,98541,3825,114898,24627,16552,33207,5410
2024-02-26 22:07:12,2024-02-26T16:06:24Z,125265,136318,180374,195161,101366,7485,14038,58512,3789,8067,4674,98646,3828,114937,24640,16561,33309,5417
2024-02-26 23:07:11,2024-02-26T17:05:57Z,125394,136376,180671,195380,101584,7493,14067,58556,3793,8076,4675,98893,3833,115006,24658,16583,33399,5422
2024-02-27 00:07:11,2024-02-26T18:06:13Z,125520,136455,180817,195666,101644,7498,14151,58575,3797,8077,4681,99041,3834,115250,25054,16589,33428,5424
2024-02-27 01:07:08,2024-02-26T19:05:55Z,125491,136454,180872,195660,101576,7498,14150,58581,3796,8077,4681,99045,3834,115324,25054,16589,33427,5424
2024-02-27 02:07:09,2024-02-26T20:06:02Z,125491,136454,180872,195660,101576,7498,14150,58581,3796,8077,4681,99045,3834,115324,25054,16589,33427,5424
2024-02-27 03:07:06,2024-02-26T21:06:03Z,125494,136457,180893,195681,101582,7498,14151,58586,3796,8078,4681,99113,3834,115347,25071,16591,33428,5424
