ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,959304,1289136,234380,2024-02-25T09:29:38Z
2024-02-25 17:00:15,962672,1293398,235176,2024-02-25T10:05:51Z
2024-02-25 18:00:15,966151,1298147,236051,2024-02-25T11:05:26Z
2024-02-25 19:00:15,966571,1298834,236224,2024-02-25T12:07:23Z
2024-02-25 20:00:16,967206,1299625,236382,2024-02-25T13:05:58Z
2024-02-25 21:00:15,971156,1304493,237327,2024-02-25T14:05:50Z
2024-02-25 22:00:15,972613,1306893,237756,2024-02-25T15:05:30Z
2024-02-25 23:00:15,974049,1308826,238041,2024-02-25T16:06:34Z
2024-02-26 00:00:15,974287,1309172,238097,2024-02-25T17:05:52Z
2024-02-26 01:00:15,974270,1309060,238063,2024-02-25T18:05:47Z
2024-02-26 02:00:15,974270,1309060,238063,2024-02-25T19:05:50Z
2024-02-26 03:00:15,974345,1309154,238083,2024-02-25T20:05:34Z
2024-02-26 04:00:15,974345,1309154,238083,2024-02-25T21:05:35Z
2024-02-26 05:00:15,974345,1309154,238083,2024-02-25T22:05:44Z
2024-02-26 06:00:15,974345,1309154,238083,2024-02-25T23:05:52Z
2024-02-26 07:00:16,974329,1309014,238043,2024-02-26T00:21:11Z
2024-02-26 08:00:15,974311,1308918,238024,2024-02-26T01:27:16Z
2024-02-26 09:00:15,974311,1308918,238024,2024-02-26T02:12:19Z
2024-02-26 10:00:15,974208,1308941,238040,2024-02-26T03:06:26Z
2024-02-26 11:00:16,974952,1310431,238357,2024-02-26T04:06:03Z
2024-02-26 12:00:15,975889,1311887,238667,2024-02-26T05:06:08Z
2024-02-26 13:00:15,977683,1313802,239071,2024-02-26T06:06:48Z
2024-02-26 14:00:15,977839,1314200,239200,2024-02-26T07:06:18Z
2024-02-26 15:00:15,978923,1316180,239593,2024-02-26T08:06:49Z
2024-02-26 16:00:15,979194,1316207,239626,2024-02-26T09:06:01Z
2024-02-26 17:00:20,979060,1316038,239618,2024-02-26T10:06:11Z
2024-02-26 18:00:15,979294,1316283,239687,2024-02-26T11:05:35Z
2024-02-26 19:00:15,979654,1316929,239790,2024-02-26T12:07:54Z
2024-02-26 20:00:15,979758,1317014,239813,2024-02-26T13:05:51Z
2024-02-26 21:00:15,980207,1317615,239888,2024-02-26T14:06:04Z
2024-02-26 22:00:15,981591,1319878,240361,2024-02-26T15:06:08Z
2024-02-26 23:00:16,981990,1319975,240381,2024-02-26T16:06:24Z
2024-02-27 00:00:15,982076,1320185,240437,2024-02-26T17:05:57Z
2024-02-27 01:00:16,982175,1320267,240439,2024-02-26T18:06:13Z
2024-02-27 02:00:15,982175,1320267,240439,2024-02-26T19:05:55Z
2024-02-27 03:00:15,982093,1320134,240429,2024-02-26T20:06:02Z
2024-02-27 04:00:15,982093,1320134,240429,2024-02-26T21:06:03Z
2024-02-27 05:00:16,982093,1320134,240429,2024-02-26T22:06:49Z
2024-02-27 06:00:15,982093,1320134,240429,2024-02-26T23:06:09Z
2024-02-27 07:00:15,982093,1320134,240429,2024-02-27T00:20:12Z
