ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,110963,1137470,261805,2024-02-25T09:29:38Z
2024-02-25 17:00:15,111405,1141828,262842,2024-02-25T10:05:51Z
2024-02-25 18:00:15,111612,1142546,262941,2024-02-25T11:05:26Z
2024-02-25 19:00:15,111751,1142088,263005,2024-02-25T12:07:23Z
2024-02-25 20:00:16,111653,1140216,262424,2024-02-25T13:05:58Z
2024-02-25 21:00:15,111345,1138996,262336,2024-02-25T14:05:50Z
2024-02-25 22:00:15,111134,1139027,262210,2024-02-25T15:05:30Z
2024-02-25 23:00:15,111191,1139571,262446,2024-02-25T16:06:34Z
2024-02-26 00:00:15,111422,1140638,262672,2024-02-25T17:05:52Z
2024-02-26 01:00:15,111400,1140491,262620,2024-02-25T18:05:47Z
2024-02-26 02:00:15,111398,1140351,262543,2024-02-25T19:05:50Z
2024-02-26 03:00:15,111398,1140485,262567,2024-02-25T20:05:34Z
2024-02-26 04:00:15,111403,1140628,262633,2024-02-25T21:05:35Z
2024-02-26 05:00:15,111433,1140758,262659,2024-02-25T22:05:44Z
2024-02-26 06:00:15,111431,1140588,262608,2024-02-25T23:05:52Z
2024-02-26 07:00:16,111431,1140588,262608,2024-02-26T00:21:11Z
2024-02-26 08:00:15,111431,1140588,262608,2024-02-26T01:27:16Z
2024-02-26 09:00:15,111486,1140945,262664,2024-02-26T02:12:19Z
2024-02-26 10:00:15,111603,1142140,262922,2024-02-26T03:06:26Z
2024-02-26 11:00:16,111637,1142279,262983,2024-02-26T04:06:03Z
2024-02-26 12:00:15,111611,1142510,263079,2024-02-26T05:06:08Z
2024-02-26 13:00:15,111620,1142636,263103,2024-02-26T06:06:48Z
2024-02-26 14:00:15,111622,1143051,263214,2024-02-26T07:06:18Z
2024-02-26 15:00:15,111646,1142744,263162,2024-02-26T08:06:49Z
2024-02-26 16:00:15,111781,1145045,263692,2024-02-26T09:06:01Z
2024-02-26 17:00:20,111739,1145132,263817,2024-02-26T10:06:11Z
2024-02-26 18:00:15,111751,1145536,263930,2024-02-26T11:05:35Z
2024-02-26 19:00:15,111806,1146470,264136,2024-02-26T12:07:54Z
2024-02-26 20:00:15,111750,1145414,263827,2024-02-26T13:05:51Z
2024-02-26 21:00:15,111796,1145037,263761,2024-02-26T14:06:04Z
2024-02-26 22:00:15,111921,1145549,263773,2024-02-26T15:06:08Z
2024-02-26 23:00:16,111932,1145798,263836,2024-02-26T16:06:24Z
2024-02-27 00:00:15,111868,1145451,263876,2024-02-26T17:05:57Z
2024-02-27 01:00:16,111868,1145451,263876,2024-02-26T18:06:13Z
2024-02-27 02:00:15,111868,1145451,263876,2024-02-26T19:05:55Z
2024-02-27 03:00:15,111848,1145298,263840,2024-02-26T20:06:02Z
2024-02-27 04:00:15,111848,1145298,263840,2024-02-26T21:06:03Z
2024-02-27 05:00:16,111848,1145298,263840,2024-02-26T22:06:49Z
2024-02-27 06:00:15,111894,1145437,263853,2024-02-26T23:06:09Z
2024-02-27 07:00:15,111894,1145437,263853,2024-02-27T00:20:12Z
2024-02-27 08:00:15,111894,1145296,263807,2024-02-27T01:25:16Z
2024-02-27 09:00:15,111894,1145296,263807,2024-02-27T02:09:55Z
2024-02-27 10:00:16,111833,1145443,263883,2024-02-27T03:05:50Z
2024-02-27 11:00:16,111756,1145329,263922,2024-02-27T04:06:44Z
2024-02-27 12:00:15,111791,1145936,264062,2024-02-27T05:06:51Z
2024-02-27 13:00:15,111877,1145783,264034,2024-02-27T06:06:32Z
2024-02-27 14:00:15,111875,1145383,263935,2024-02-27T07:06:22Z
2024-02-27 15:00:15,111775,1144822,263778,2024-02-27T08:06:31Z
2024-02-27 16:00:16,111647,1144065,263627,2024-02-27T09:05:46Z
2024-02-27 17:00:16,111560,1143643,263475,2024-02-27T10:06:21Z
2024-02-27 18:00:16,111576,1143757,263516,2024-02-27T11:05:40Z
2024-02-27 19:00:15,111503,1143548,263414,2024-02-27T12:07:29Z
2024-02-27 20:00:15,111423,1143314,263354,2024-02-27T13:05:33Z
2024-02-27 21:00:19,111413,1143131,263315,2024-02-27T14:05:54Z
2024-02-27 22:00:15,111445,1144590,263842,2024-02-27T15:05:47Z
2024-02-27 23:00:16,111454,1145167,264072,2024-02-27T16:06:04Z
2024-02-28 00:00:15,111456,1145143,264050,2024-02-27T17:06:35Z
