ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,2433,2419,2192,5715,3552,247,297,1698,164,264,109,670,159,950,611,330,278,173
2024-02-25 23:07:04,2024-02-25T17:05:52Z,2433,2419,2192,5715,3552,247,297,1698,164,264,109,670,159,950,611,330,278,173
2024-02-26 00:07:05,2024-02-25T18:05:47Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 01:07:03,2024-02-25T19:05:50Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 02:07:02,2024-02-25T20:05:34Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 03:07:03,2024-02-25T21:05:35Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 04:07:29,2024-02-25T22:05:44Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 05:07:04,2024-02-25T23:05:52Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 06:07:03,2024-02-26T00:21:11Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 07:07:03,2024-02-26T01:27:16Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 08:07:03,2024-02-26T02:12:19Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 09:07:03,2024-02-26T03:06:26Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 10:07:15,2024-02-26T04:06:03Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 11:07:10,2024-02-26T05:06:08Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 12:07:11,2024-02-26T06:06:48Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 13:07:16,2024-02-26T07:06:18Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 14:07:09,2024-02-26T08:06:49Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 15:07:08,2024-02-26T09:06:01Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 16:07:21,2024-02-26T10:06:11Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 17:07:17,2024-02-26T11:05:35Z,2428,2406,2174,5639,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 18:07:10,2024-02-26T12:07:54Z,2428,2406,2307,5759,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 19:07:11,2024-02-26T13:05:51Z,2428,2406,2307,5759,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 20:07:14,2024-02-26T14:06:04Z,2428,2406,2307,5759,3537,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 21:07:14,2024-02-26T15:06:08Z,2433,2406,2345,5759,3612,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 22:07:12,2024-02-26T16:06:24Z,2433,2406,2345,5759,3612,244,296,1684,164,260,108,663,157,945,845,327,278,172
2024-02-26 23:07:11,2024-02-26T17:05:57Z,2433,2406,2345,5759,3612,244,296,1684,164,260,108,663,157,945,845,327,278,172
