ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,6089,33807,14906,2024-02-25T09:29:38Z
2024-02-25 17:00:15,6089,33807,14906,2024-02-25T10:05:51Z
2024-02-25 18:00:15,6188,33906,15005,2024-02-25T11:05:26Z
2024-02-25 19:00:15,6188,33906,15005,2024-02-25T12:07:23Z
2024-02-25 20:00:16,6188,33906,15005,2024-02-25T13:05:58Z
2024-02-25 21:00:15,6188,33906,15005,2024-02-25T14:05:50Z
2024-02-25 22:00:15,6312,34070,15143,2024-02-25T15:05:30Z
2024-02-25 23:00:15,6312,34070,15143,2024-02-25T16:06:34Z
2024-02-26 00:00:15,6312,34070,15143,2024-02-25T17:05:52Z
2024-02-26 01:00:15,6312,34070,15143,2024-02-25T18:05:47Z
2024-02-26 02:00:15,6312,34070,15143,2024-02-25T19:05:50Z
2024-02-26 03:00:15,6312,34070,15143,2024-02-25T20:05:34Z
2024-02-26 04:00:15,6312,34070,15143,2024-02-25T21:05:35Z
2024-02-26 05:00:15,6312,34070,15143,2024-02-25T22:05:44Z
2024-02-26 06:00:15,6312,34070,15143,2024-02-25T23:05:52Z
2024-02-26 07:00:16,6312,34070,15143,2024-02-26T00:21:11Z
2024-02-26 08:00:15,6312,34070,15143,2024-02-26T01:27:16Z
2024-02-26 09:00:15,6312,34070,15143,2024-02-26T02:12:19Z
2024-02-26 10:00:15,6312,34070,15143,2024-02-26T03:06:26Z
2024-02-26 11:00:16,6312,34070,15143,2024-02-26T04:06:03Z
2024-02-26 12:00:15,6312,34070,15143,2024-02-26T05:06:08Z
2024-02-26 13:00:15,6312,34070,15143,2024-02-26T06:06:48Z
2024-02-26 14:00:15,6312,34070,15143,2024-02-26T07:06:18Z
2024-02-26 15:00:15,6312,34070,15143,2024-02-26T08:06:49Z
2024-02-26 16:00:15,6312,34070,15143,2024-02-26T09:06:01Z
2024-02-26 17:00:20,6312,34070,15143,2024-02-26T10:06:11Z
2024-02-26 18:00:15,6312,34070,15143,2024-02-26T11:05:35Z
2024-02-26 19:00:15,6312,34070,15143,2024-02-26T12:07:54Z
2024-02-26 20:00:15,6312,34070,15143,2024-02-26T13:05:51Z
2024-02-26 21:00:15,6312,34070,15143,2024-02-26T14:06:04Z
2024-02-26 22:00:15,6312,34070,15143,2024-02-26T15:06:08Z
2024-02-26 23:00:16,6312,34070,15143,2024-02-26T16:06:24Z
2024-02-27 00:00:15,6312,34070,15143,2024-02-26T17:05:57Z
2024-02-27 01:00:16,6312,34070,15143,2024-02-26T18:06:13Z
2024-02-27 02:00:15,6312,34070,15143,2024-02-26T19:05:55Z
2024-02-27 03:00:15,6312,34070,15143,2024-02-26T20:06:02Z
