ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,10842,68666,296004,117415,99230,2573,3852,16556,1060,8189,1477,39767,2154,177344,10614,14351,5524,611
2024-02-25 23:07:04,2024-02-25T17:05:52Z,10842,68791,296291,117593,99309,2574,3850,16599,1062,8192,1478,39886,2154,177320,10653,14357,5530,611
2024-02-26 00:07:05,2024-02-25T18:05:47Z,10855,68884,296627,117930,99527,2576,3854,16629,1059,8195,1478,40087,2155,177615,10665,14362,5535,611
2024-02-26 01:07:03,2024-02-25T19:05:50Z,10854,68933,296634,118033,99487,2575,3853,16622,1058,8193,1478,40069,2153,177646,10665,14362,5535,611
2024-02-26 02:07:02,2024-02-25T20:05:34Z,10854,68947,296783,118112,99514,2575,3854,16622,1058,8194,1493,40069,2153,177721,10665,14362,5535,611
2024-02-26 03:07:03,2024-02-25T21:05:35Z,10857,69013,296930,118214,99588,2576,3855,16629,1059,8195,1494,40109,2154,177892,10667,14368,5535,611
2024-02-26 04:07:29,2024-02-25T22:05:44Z,10858,69050,297186,118484,99626,2577,3858,16629,1059,8196,1494,40109,2154,178010,10668,14379,5536,611
2024-02-26 05:07:04,2024-02-25T23:05:52Z,10858,69050,297186,118484,99626,2577,3858,16629,1059,8196,1494,40109,2154,178010,10772,14379,5536,611
2024-02-26 06:07:03,2024-02-26T00:21:11Z,10858,69050,297186,118484,99626,2577,3858,16629,1059,8196,1494,40109,2154,178010,10772,14379,5536,611
2024-02-26 07:07:03,2024-02-26T01:27:16Z,10858,69050,297186,118484,99626,2577,3858,16629,1059,8196,1494,40109,2154,178010,10772,14379,5536,611
2024-02-26 08:07:03,2024-02-26T02:12:19Z,10858,69050,297186,118484,99626,2577,3858,16629,1059,8196,1494,40109,2154,178010,10772,14379,5536,611
2024-02-26 09:07:03,2024-02-26T03:06:26Z,10899,69223,297737,118546,100108,2584,3863,16685,1061,8217,1494,40227,2160,178128,10797,14380,5539,612
2024-02-26 10:07:15,2024-02-26T04:06:03Z,10928,69271,298323,118679,100353,2589,3870,16721,1062,8229,1494,40338,2166,178461,10808,14390,5551,612
2024-02-26 11:07:10,2024-02-26T05:06:08Z,10948,69457,298913,118923,100747,2596,3873,16728,1064,8236,1494,40408,2169,178960,10836,14412,5572,612
2024-02-26 12:07:11,2024-02-26T06:06:48Z,10958,69555,299824,119073,100954,2602,3885,16730,1066,9091,1493,40504,2172,179373,10854,14426,5578,693
2024-02-26 13:07:16,2024-02-26T07:06:18Z,11059,69775,300979,119300,101394,2614,3919,16781,1067,9271,1500,40720,2180,179809,10875,14461,5643,698
2024-02-26 14:07:09,2024-02-26T08:06:49Z,11074,69846,301093,119416,101475,2621,3957,16790,1070,9285,1503,40734,2194,180141,10895,14464,5676,700
2024-02-26 15:07:08,2024-02-26T09:06:01Z,11072,69920,301387,119682,101544,2615,3952,16805,1075,9304,1506,40765,2193,180439,10899,14467,5672,699
2024-02-26 16:07:21,2024-02-26T10:06:11Z,11087,70029,301202,119900,101574,2671,3957,16876,1075,8504,1511,40850,2214,181037,10985,14478,5688,624
2024-02-26 17:07:17,2024-02-26T11:05:35Z,11088,70092,301332,119981,101637,2673,3961,16897,1075,8509,1512,40854,2213,181292,11079,14500,5695,624
