ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,391267,535477,496091,448969,291331,20343,22064,206219,5939,15759,11176,240667,7092,309352,66490,33176,46230,11590
2024-02-25 23:07:04,2024-02-25T17:05:52Z,391213,535325,495795,448863,291346,20337,22060,206246,5937,15755,11172,240638,7090,309181,66727,33158,46223,11587
2024-02-26 00:07:05,2024-02-25T18:05:47Z,391441,535672,496187,449103,291493,20346,22066,206309,5939,15758,11177,240738,7093,309352,66949,33182,46233,11597
2024-02-26 01:07:03,2024-02-25T19:05:50Z,391441,535672,496187,449103,291493,20346,22066,206309,5939,15758,11177,240738,7093,309352,67372,33182,46233,11597
2024-02-26 02:07:02,2024-02-25T20:05:34Z,391441,535672,496187,449103,291493,20346,22066,206309,5939,15758,11177,240738,7093,309352,67372,33182,46233,11597
2024-02-26 03:07:03,2024-02-25T21:05:35Z,391441,535672,496187,449103,291493,20346,22066,206309,5939,15758,11177,240738,7093,309352,67372,33182,46233,11597
2024-02-26 04:07:29,2024-02-25T22:05:44Z,391441,535672,496187,449103,291493,20346,22066,206309,5939,15758,11177,240738,7093,309352,67372,33182,46233,11597
2024-02-26 05:07:04,2024-02-25T23:05:52Z,391441,535672,496187,449103,291493,20346,22066,206309,5939,15758,11177,240738,7093,309352,67408,33182,46233,11597
2024-02-26 06:07:03,2024-02-26T00:21:11Z,391441,535672,496187,449103,291493,20346,22066,206309,5939,15758,11177,240738,7093,309352,67408,33182,46233,11597
2024-02-26 07:07:03,2024-02-26T01:27:16Z,391441,535672,496187,449103,291493,20346,22066,206309,5939,15758,11177,240738,7093,309352,67408,33182,46233,11597
2024-02-26 08:07:03,2024-02-26T02:12:19Z,391511,535714,496223,449124,291499,20346,22066,206318,5939,15758,11178,240754,7093,309368,67413,33182,46238,11598
2024-02-26 09:07:03,2024-02-26T03:06:26Z,391633,535839,496328,449203,291532,20350,22069,206336,5939,15760,11177,240826,7094,309412,67414,33189,46250,11600
2024-02-26 10:07:15,2024-02-26T04:06:03Z,391848,536183,496473,449377,291611,20354,22071,206496,5941,15764,11185,241002,7094,309510,67453,33196,46290,11618
2024-02-26 11:07:10,2024-02-26T05:06:08Z,392755,536964,497616,449982,291997,20381,22096,206932,5945,15774,11198,241412,7099,309788,67608,33230,46473,11643
2024-02-26 12:07:11,2024-02-26T06:06:48Z,393129,537482,497996,450327,292274,20399,22120,207208,5946,15787,11211,241829,7103,309948,67670,33242,46553,11652
2024-02-26 13:07:16,2024-02-26T07:06:18Z,393420,538145,498285,450573,292595,20415,22139,207402,5946,15795,11214,242025,7104,310057,67903,33303,46603,11657
2024-02-26 14:07:09,2024-02-26T08:06:49Z,393889,538471,498518,450861,292906,20430,22154,207610,5947,15803,11218,242234,7115,310167,67966,33329,46625,11678
2024-02-26 15:07:08,2024-02-26T09:06:01Z,394200,538781,498906,451097,293391,20440,22163,207760,5949,15811,11281,242454,7145,310273,68189,33362,46660,11688
2024-02-26 16:07:21,2024-02-26T10:06:11Z,394660,539178,499054,451248,293695,20455,22173,207912,5959,15823,11281,242510,7148,310425,68224,33374,46687,11699
2024-02-26 17:07:17,2024-02-26T11:05:35Z,395229,540122,500055,451920,294252,20473,22231,208609,5961,15848,11292,242938,7151,310773,68633,33425,46737,11722
2024-02-26 18:07:10,2024-02-26T12:07:54Z,396472,541918,501629,453286,295371,20525,22281,209501,6045,15882,11318,243874,7160,311365,70699,33550,46917,11759
2024-02-26 19:07:11,2024-02-26T13:05:51Z,396910,542564,502207,453909,295879,20534,22383,209711,6053,15884,11351,244244,7167,311599,72960,33607,47044,11777
2024-02-26 20:07:14,2024-02-26T14:06:04Z,397434,543423,502855,454569,296369,20776,22477,209963,6213,16285,12080,244894,7343,311978,74511,33653,47092,11863
2024-02-26 21:07:14,2024-02-26T15:06:08Z,397798,544175,503799,454917,296703,20573,22638,210433,5988,15999,11402,244797,7194,312247,74521,33747,47168,11895
2024-02-26 22:07:12,2024-02-26T16:06:24Z,398551,545211,504414,455583,297237,20613,22672,210729,5996,16012,11409,245084,7205,312519,75568,33788,47300,11907
2024-02-26 23:07:11,2024-02-26T17:05:57Z,399100,546600,505144,456422,298111,20636,22704,211129,6002,16040,11416,245746,7216,312877,75986,33841,47402,11916
2024-02-27 00:07:11,2024-02-26T18:06:13Z,400399,547706,505633,456883,298454,20664,22865,211433,6017,16057,11426,246002,7218,313104,76084,33883,47559,11936
2024-02-27 01:07:08,2024-02-26T19:05:55Z,400804,548227,505819,457315,298610,20671,22877,211559,6020,16069,11430,246337,7221,313286,76149,33911,47633,11939
2024-02-27 02:07:09,2024-02-26T20:06:02Z,400906,548318,505974,457430,298926,20677,22885,211624,6020,16083,11438,246658,7226,313381,76170,33914,47672,11942
2024-02-27 03:07:06,2024-02-26T21:06:03Z,400931,548335,505980,457443,298954,20678,22887,211625,6020,16083,11438,246663,7228,313450,76170,33914,47676,11942
2024-02-27 04:07:09,2024-02-26T22:06:49Z,400978,548371,506025,457492,298982,20678,22931,211641,6020,16084,11441,246711,7230,313467,76185,33916,47688,11945
2024-02-27 05:07:07,2024-02-26T23:06:09Z,401441,548642,506247,457706,299084,20697,22933,211733,6021,16087,11447,246771,7232,313534,76204,33941,47703,11945
2024-02-27 07:07:06,2024-02-27T00:20:12Z,401604,548725,506363,457917,299206,20700,22939,211754,6023,16088,11447,246819,7233,313554,76223,33942,47721,11950
2024-02-27 08:07:07,2024-02-27T01:25:16Z,401715,548738,506377,457944,299212,20700,22941,211754,6023,16090,11447,246823,7234,313566,76226,33943,47722,11950
2024-02-27 09:07:08,2024-02-27T02:09:55Z,400867,548364,506350,457932,299205,20698,22941,211753,6013,16090,11447,246819,7234,313559,76225,33943,47722,11949
2024-02-27 09:07:08,2024-02-27T03:05:50Z,400867,548364,506350,457932,299205,20698,22941,211753,6013,16090,11447,246819,7234,313559,76225,33943,47722,11949
2024-02-27 10:07:09,2024-02-27T04:06:44Z,400893,548463,506422,457966,299278,20700,22944,211797,6013,16095,11457,246849,7234,313595,76231,33954,47725,11950
2024-02-27 11:07:10,2024-02-27T05:06:51Z,400981,548531,506449,458086,299291,20701,22944,211814,6013,16095,11458,246856,7235,313605,76246,33954,47736,11955
2024-02-27 12:07:10,2024-02-27T06:06:32Z,401160,548752,506641,458350,299485,20703,22994,211971,6014,16102,11460,246919,7235,313686,76315,33959,47763,11965
2024-02-27 13:07:10,2024-02-27T07:06:22Z,401318,548901,506720,458504,299564,20708,23539,212142,6015,16103,11463,247021,7235,313769,76337,33963,47766,11970
2024-02-27 14:07:11,2024-02-27T08:06:31Z,401307,548923,506650,458542,299569,20710,24910,212138,6015,16103,11463,247032,7236,313770,76337,33960,47766,11970
2024-02-27 15:07:21,2024-02-27T09:05:46Z,401335,548949,506732,458642,299716,20715,26087,212156,6020,16107,11464,247019,7235,313840,76333,33986,47767,11967
