ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,145239,132329,166090,303308,114505,9704,13080,166125,3560,10632,5517,112921,7097,136836,37369,27679,39996,10621
2024-02-25 23:07:04,2024-02-25T17:05:52Z,145399,132545,166327,304832,115282,9719,13176,166991,3566,10645,5526,113518,7904,137000,37438,28516,40055,10629
2024-02-26 00:07:05,2024-02-25T18:05:47Z,146387,133455,166468,306055,116156,10605,14024,167089,3977,11532,6409,114490,7909,137977,38345,29411,40072,10638
2024-02-26 01:07:03,2024-02-25T19:05:50Z,146393,133479,166476,306082,116169,10608,14024,167177,3977,11532,6409,114533,7910,137982,38351,29416,40077,10638
2024-02-26 02:07:02,2024-02-25T20:05:34Z,146393,133479,166476,306082,116169,10608,14024,167177,3977,11532,6409,114533,7910,137982,38496,29416,40077,10638
2024-02-26 03:07:03,2024-02-25T21:05:35Z,146393,133479,166476,306082,116169,10608,14024,167177,3977,11532,6409,114533,7910,137982,38496,29416,40077,10638
2024-02-26 04:07:29,2024-02-25T22:05:44Z,146393,133479,166476,306082,116169,10608,14024,167177,3977,11532,6409,114533,7910,137982,38640,29416,40077,10638
2024-02-26 05:07:04,2024-02-25T23:05:52Z,146393,133479,166476,306082,116169,10608,14024,167177,3977,11532,6409,114533,7910,137982,38640,29416,40077,10638
2024-02-26 06:07:03,2024-02-26T00:21:11Z,146420,133490,166487,306101,116186,10608,14026,167183,3977,11532,6410,114567,7910,137984,38646,29416,40078,10639
2024-02-26 07:07:03,2024-02-26T01:27:16Z,146436,133493,166495,306132,116187,10609,14027,167184,3977,11532,6410,114569,7910,137984,38649,29417,40078,10639
2024-02-26 08:07:03,2024-02-26T02:12:19Z,146436,133493,166495,306132,116187,10609,14027,167184,3977,11532,6410,114569,7910,137984,38649,29417,40078,10639
2024-02-26 09:07:03,2024-02-26T03:06:26Z,145475,132522,166417,304403,114927,9719,13101,166315,3569,10648,5527,113081,7100,137005,37762,27729,40069,10637
2024-02-26 10:07:15,2024-02-26T04:06:03Z,145487,132547,166451,304403,114931,9719,13103,166328,3570,10648,5527,113081,7101,137008,37764,27745,40081,10637
2024-02-26 11:07:10,2024-02-26T05:06:08Z,145716,133035,168115,306410,115255,9754,13138,166692,3590,10716,5536,113202,7120,137419,37996,27860,40141,10649
2024-02-26 12:07:11,2024-02-26T06:06:48Z,145957,133524,169428,308531,115620,9783,13195,167038,3597,10758,5551,113319,7132,137667,38124,28043,40289,10660
2024-02-26 13:07:16,2024-02-26T07:06:18Z,146044,133634,169853,308990,115875,9792,13204,167160,3604,10773,5553,113396,7140,137754,38160,28070,40312,10661
2024-02-26 14:07:09,2024-02-26T08:06:49Z,146045,133642,169912,309060,115883,9792,13204,167162,3608,10773,5553,113396,7140,137754,38220,28088,40312,10661
2024-02-26 15:07:08,2024-02-26T09:06:01Z,146138,133718,170074,309343,115973,9812,13212,167218,3611,10781,5555,113440,7145,137774,38244,28118,40319,10663
2024-02-26 16:07:21,2024-02-26T10:06:11Z,146157,133776,170281,309564,116030,9817,13229,167277,3611,10747,5556,113528,7142,137727,38450,28157,40331,10661
2024-02-26 17:07:17,2024-02-26T11:05:35Z,147172,134883,171292,310932,116794,10375,14147,168271,4503,11103,5877,114670,7948,138360,40409,30024,41240,10711
2024-02-26 18:07:10,2024-02-26T12:07:54Z,147271,135985,172659,312119,118061,11283,15048,168589,6197,12005,7656,115670,8768,138394,41230,30776,41266,10672
2024-02-26 19:07:11,2024-02-26T13:05:51Z,147290,136236,173413,313362,119827,12267,16131,169767,6742,11857,8679,117636,9311,138927,41438,31726,41681,12045
2024-02-26 20:07:14,2024-02-26T14:06:04Z,147339,136279,173603,313496,120104,12274,16743,169838,6748,11864,8683,117695,9320,138958,41502,31734,41698,12045
2024-02-26 21:07:14,2024-02-26T15:06:08Z,146694,134404,171824,311067,117492,9909,14126,168073,3624,10806,5579,114080,7205,138223,38862,28271,40445,10678
2024-02-26 22:07:12,2024-02-26T16:06:24Z,146874,134597,172959,311326,117824,9923,14142,168287,3625,10812,5582,114332,7217,138380,38901,28289,40490,10674
2024-02-26 23:07:11,2024-02-26T17:05:57Z,147700,134626,173033,311399,117921,9931,14147,168382,4513,11660,6472,115354,7312,139199,39710,29169,41381,11563
2024-02-27 00:07:11,2024-02-26T18:06:13Z,147723,135535,173182,311533,118261,10038,14233,169428,5325,13359,7354,116274,8129,140987,41493,30791,41472,12544
2024-02-27 01:07:08,2024-02-26T19:05:55Z,147721,135537,173182,311541,118263,10041,14311,169428,5325,13359,7352,116245,8129,140987,41493,30791,41472,12544
2024-02-27 02:07:09,2024-02-26T20:06:02Z,147721,135537,173182,311541,118263,10041,14311,169428,5325,13359,7352,116245,8129,140987,41493,30791,41472,12544
2024-02-27 03:07:06,2024-02-26T21:06:03Z,147721,135537,173182,311541,118263,10041,14383,169428,5325,13359,7352,116245,8129,140987,41493,30791,41472,12544
2024-02-27 04:07:09,2024-02-26T22:06:49Z,147721,135537,173182,311541,118263,10041,14383,169428,5325,13359,7352,116245,8129,140987,41493,30791,41472,12544
2024-02-27 05:07:07,2024-02-26T23:06:09Z,147721,135537,173182,311541,118263,10041,14383,169428,5325,13359,7352,116245,8129,140987,41493,30791,41472,12544
2024-02-27 07:07:06,2024-02-27T00:20:12Z,147721,135537,173182,311541,118263,10041,14383,169428,5325,13359,7352,116245,8129,140987,41493,30791,41472,12544
2024-02-27 08:07:07,2024-02-27T01:25:16Z,147721,135537,173182,311541,118263,10041,14383,169428,5325,13359,7352,116245,8129,140987,41493,30791,41472,12544
2024-02-27 09:07:08,2024-02-27T02:09:55Z,146875,134498,172153,311394,117818,9922,14294,168260,3625,10813,5584,114490,7215,138386,38904,28297,40486,10676
2024-02-27 09:07:08,2024-02-27T03:05:50Z,146875,134498,172153,311394,117818,9922,14294,168260,3625,10813,5584,114490,7215,138386,38904,28297,40486,10676
2024-02-27 10:07:09,2024-02-27T04:06:44Z,146887,134506,172195,311413,117892,9922,14294,168279,3626,10814,5585,114497,7218,138391,38908,28300,40486,10676
2024-02-27 11:07:10,2024-02-27T05:06:51Z,146942,134918,172257,311601,117993,9965,14338,168789,3630,11258,6289,114707,7620,139319,38921,28310,40497,10759
2024-02-27 12:07:10,2024-02-27T06:06:32Z,147044,134954,172285,311788,118020,9971,14339,168841,3632,11259,6291,114804,7621,139361,38929,28316,40506,10763
2024-02-27 13:07:10,2024-02-27T07:06:22Z,148765,135484,172590,313259,118979,9982,14285,169336,4055,11484,6705,115555,8423,141044,39756,29127,41896,11665
2024-02-27 14:07:11,2024-02-27T08:06:31Z,148765,135484,172590,313259,118979,9982,14285,169336,4055,11484,6705,115555,8423,141044,39756,29127,41896,11664
2024-02-27 15:07:21,2024-02-27T09:05:46Z,146696,134370,172020,311595,117793,9636,14602,168171,3479,10570,5413,114638,7036,138229,38802,28077,40519,10666
2024-02-27 16:07:17,2024-02-27T10:06:21Z,146788,134173,172080,311982,117983,9922,14997,168112,3300,10851,5596,114608,6879,138203,38728,27857,40753,10488
2024-02-27 17:07:19,2024-02-27T11:05:40Z,146558,133811,172006,311801,117714,9433,15120,167957,3113,10589,5361,114301,6578,137772,38604,27588,40710,10039
2024-02-27 18:07:11,2024-02-27T12:07:29Z,146421,133645,172065,311827,117594,9085,14938,167802,2954,10260,5092,114050,6487,137886,38372,27223,40542,9677
2024-02-27 19:07:12,2024-02-27T13:05:33Z,146490,133515,172017,311789,117555,8508,14762,167501,2768,9633,4600,113927,6305,137910,38333,27215,40156,9599
2024-02-27 20:07:12,2024-02-27T14:05:54Z,146354,133218,171763,311333,117102,8401,14664,167038,2587,9491,4422,113799,6291,137592,38191,27039,40052,9487
2024-02-27 21:07:21,2024-02-27T15:05:47Z,146405,133302,171949,311689,117238,8433,14677,167206,2591,9500,4425,113842,6298,137667,38205,27065,40065,9490
2024-02-27 22:07:15,2024-02-27T16:06:04Z,146512,133380,172090,312019,117495,8444,14685,167332,2592,9509,4427,113967,6309,137706,38268,27077,40086,9582
2024-02-27 23:07:11,2024-02-27T17:06:35Z,146515,133393,172086,312053,117511,8443,14686,167324,2593,9511,4428,113985,6308,137727,38267,27083,40086,9582
2024-02-28 00:07:10,2024-02-27T18:06:47Z,146510,133384,172089,312091,117515,8443,14684,167282,2594,9511,4427,113980,6308,137723,38264,27074,40079,9582
