ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,94396,241601,166722,225306,291536,9821,15408,225156,4028,15225,7463,240278,10594,153634,10313,8303,75458,21168
2024-02-25 23:07:04,2024-02-25T17:05:52Z,95297,243402,168026,226772,294464,10798,16329,228187,4337,16156,8378,242090,11495,154561,11363,9201,77303,22257
2024-02-26 00:07:05,2024-02-25T18:05:47Z,95530,243926,169094,228114,295816,11265,16789,228817,4344,16264,9280,242853,11595,155869,11381,10090,78309,23165
2024-02-26 01:07:03,2024-02-25T19:05:50Z,96317,245013,169757,228629,296989,12054,17577,229630,4346,16286,10064,243451,11603,156074,12181,10098,78472,23211
2024-02-26 02:07:02,2024-02-25T20:05:34Z,96354,245050,169887,228705,297043,12057,17584,229660,4347,16292,10068,243566,11612,156096,12184,10102,78472,23212
2024-02-26 03:07:03,2024-02-25T21:05:35Z,96385,245097,170021,228790,297093,12063,17590,229739,4347,16295,10074,243690,11617,156135,12190,10109,78488,23218
2024-02-26 04:07:29,2024-02-25T22:05:44Z,96430,245120,170033,228827,297155,12075,17591,229776,4347,16297,10076,243999,11620,156178,12190,10109,78495,23219
2024-02-26 05:07:04,2024-02-25T23:05:52Z,96465,245144,170149,228876,297205,12080,17604,229817,4347,16322,10091,244058,11623,156197,12195,10149,78499,23219
2024-02-26 06:07:03,2024-02-26T00:21:11Z,96501,245211,170152,228909,297316,12087,17606,229934,4347,16328,10095,244130,11641,156259,12196,10150,78506,23239
2024-02-26 07:07:03,2024-02-26T01:27:16Z,96515,245261,170162,228922,297370,12088,17607,230025,4348,16330,10097,244142,11643,156341,12199,10150,78508,23262
2024-02-26 08:07:03,2024-02-26T02:12:19Z,96609,246237,170333,229881,298333,12533,18605,230682,4438,16826,10201,244367,12492,156780,12643,10598,79381,24276
2024-02-26 09:07:03,2024-02-26T03:06:26Z,95249,243609,168030,227311,293718,9976,15545,227579,4042,15360,7541,243250,10679,155642,10420,8388,76019,21630
2024-02-26 10:07:15,2024-02-26T04:06:03Z,95457,244179,168200,227654,294174,9986,15561,227935,4043,15386,7549,243527,10694,155969,10433,8393,76096,21699
2024-02-26 11:07:10,2024-02-26T05:06:08Z,95640,244836,168494,228116,294901,10225,15592,229713,4129,15414,7561,244102,10804,156405,10471,8416,76280,21782
2024-02-26 12:07:11,2024-02-26T06:06:48Z,95861,245596,169707,228784,295330,10021,15622,230531,4054,15464,7575,244753,10839,156798,10496,8433,76570,21856
2024-02-26 13:07:16,2024-02-26T07:06:18Z,96193,246412,169964,229565,296264,10047,15666,231318,4069,15495,7585,245529,10869,158188,10515,8456,77776,21962
2024-02-26 14:07:09,2024-02-26T08:06:49Z,96390,246874,170160,230081,296688,10065,15708,231837,4077,15515,7599,245973,10918,158595,10532,8469,77937,22029
2024-02-26 15:07:08,2024-02-26T09:06:01Z,96831,247517,171050,230658,297305,10074,16624,232407,4085,15554,7605,246432,10938,158944,10557,8478,78041,22236
2024-02-26 16:07:21,2024-02-26T10:06:11Z,97171,248487,169463,231442,298234,10090,15775,232524,4100,15586,7617,247154,10890,158801,10577,8477,77330,22361
2024-02-26 17:07:17,2024-02-26T11:05:35Z,97932,249883,169790,232950,299019,10989,16308,233312,4106,15600,7626,247959,11705,159180,10905,9286,78259,23325
2024-02-26 18:07:10,2024-02-26T12:07:54Z,98384,250413,170395,233406,299861,11072,16328,234166,4120,15629,7649,248600,11731,159787,10702,9346,78201,22523
2024-02-26 19:07:11,2024-02-26T13:05:51Z,98678,251758,171414,234772,300477,11089,17151,235497,5003,15757,8505,249934,12633,160886,11606,9370,79275,23469
2024-02-26 20:07:14,2024-02-26T14:06:04Z,98832,252010,172303,235221,300906,11939,17153,236517,5008,16560,9392,250379,13440,161935,12505,10188,79433,23490
2024-02-26 21:07:14,2024-02-26T15:06:08Z,98641,251099,170928,233828,301373,10206,15864,235468,4133,15706,7678,250209,10994,160511,10669,8598,78080,22664
2024-02-26 22:07:12,2024-02-26T16:06:24Z,98710,251296,171028,234013,301784,10214,15871,235699,4133,15715,7682,250474,11004,160690,10678,8601,78153,22719
2024-02-26 23:07:11,2024-02-26T17:05:57Z,98816,251704,171250,234347,302419,10229,15895,236126,4137,15728,7696,251016,11015,160926,10694,8622,78254,22778
2024-02-27 00:07:11,2024-02-26T18:06:13Z,99002,252232,171485,234755,302958,10250,15918,236653,4143,15743,7707,251968,11031,161390,10718,8632,78349,22848
2024-02-27 01:07:08,2024-02-26T19:05:55Z,99644,252427,172680,236728,305645,11085,16848,238791,6311,17845,9493,254639,13762,162466,12092,9534,81045,24563
2024-02-27 02:07:09,2024-02-26T20:06:02Z,99834,253405,172775,236865,306006,11993,16936,239063,6399,18740,10304,254991,14652,163507,12989,10431,82040,25463
2024-02-27 03:07:06,2024-02-26T21:06:03Z,102364,255439,174240,237896,308083,14536,19239,240468,7784,21343,12082,257914,16872,164952,14046,12199,84588,26406
2024-02-27 04:07:09,2024-02-26T22:06:49Z,102406,255481,174320,237970,308229,14553,19240,241333,8592,21345,12883,258105,16881,164971,14934,13003,85393,26498
2024-02-27 05:07:07,2024-02-26T23:06:09Z,102441,255511,174322,237999,308279,14559,19242,241389,8592,21346,12883,258147,16881,164983,14934,13005,85397,26498
2024-02-27 07:07:06,2024-02-27T00:20:12Z,102453,255553,174339,238010,308345,14559,19243,241420,8592,21351,12883,258248,16886,164994,14936,13006,85422,26499
