ts,amin,pagi,gama,created_at
2024-02-25 16:00:16,585241,1546546,419631,2024-02-25T09:29:38Z
2024-02-25 17:00:15,587484,1550653,420511,2024-02-25T10:05:51Z
2024-02-25 18:00:15,589666,1555838,422216,2024-02-25T11:05:26Z
2024-02-25 19:00:15,590093,1556101,422449,2024-02-25T12:07:23Z
2024-02-25 20:00:16,591566,1558860,423151,2024-02-25T13:05:58Z
2024-02-25 21:00:15,593690,1562402,424178,2024-02-25T14:05:50Z
2024-02-25 22:00:15,595040,1565199,425007,2024-02-25T15:05:30Z
2024-02-25 23:00:15,595773,1567059,425499,2024-02-25T16:06:34Z
2024-02-26 00:00:15,595736,1566978,425536,2024-02-25T17:05:52Z
2024-02-26 01:00:15,595672,1566825,425521,2024-02-25T18:05:47Z
2024-02-26 02:00:15,595754,1566930,425539,2024-02-25T19:05:50Z
2024-02-26 03:00:15,595956,1567621,425658,2024-02-25T20:05:34Z
2024-02-26 04:00:15,595972,1567632,425667,2024-02-25T21:05:35Z
2024-02-26 05:00:15,595972,1567632,425667,2024-02-25T22:05:44Z
2024-02-26 06:00:15,595972,1567632,425667,2024-02-25T23:05:52Z
2024-02-26 07:00:16,595972,1567632,425667,2024-02-26T00:21:11Z
2024-02-26 08:00:15,595972,1567632,425667,2024-02-26T01:27:16Z
2024-02-26 09:00:15,595959,1567505,425664,2024-02-26T02:12:19Z
2024-02-26 10:00:15,595996,1567775,425757,2024-02-26T03:06:26Z
2024-02-26 11:00:16,596426,1569217,426167,2024-02-26T04:06:03Z
2024-02-26 12:00:15,596505,1570124,426532,2024-02-26T05:06:08Z
2024-02-26 13:00:15,596508,1570475,426607,2024-02-26T06:06:48Z
2024-02-26 14:00:15,596637,1570661,426642,2024-02-26T07:06:18Z
