ts,created_at,PKB,Gerindra,PDI-P,Golkar,Nasdem,Partai Buruh,Gelora,PKS,PKN,Hanura,Garuda,PAN,PBB,Demokrat,PSI,Perindo,PPP,Partai Ummat
2024-02-25 22:07:06,2024-02-25T16:06:34Z,288190,259278,276762,300602,212161,33614,34872,222358,15002,19843,19810,216202,24791,268703,95147,42181,134831,17908
2024-02-25 23:07:04,2024-02-25T17:05:52Z,289268,261716,277364,302155,212791,35009,34918,223825,15540,20723,20441,217066,24931,269271,95770,42261,135063,19204
2024-02-26 00:07:05,2024-02-25T18:05:47Z,290950,262042,277758,303462,213890,35876,35739,225093,15705,20744,20447,217407,25374,270375,98771,42291,135623,19217
2024-02-26 01:07:03,2024-02-25T19:05:50Z,291958,262764,278756,304512,214991,36399,35751,225341,15710,20754,20463,217651,25386,270606,99528,42333,136535,19302
2024-02-26 02:07:02,2024-02-25T20:05:34Z,292287,262899,278934,304668,215057,37205,36204,225412,15750,20766,20473,218652,25790,270720,100658,42344,137006,19746
2024-02-26 03:07:03,2024-02-25T21:05:35Z,292440,262981,279057,304729,215104,37215,36210,225472,15750,20768,20478,218768,25792,270760,101443,42364,137064,19748
2024-02-26 04:07:29,2024-02-25T22:05:44Z,292440,262981,279057,304729,215104,37215,36210,225472,15750,20768,20478,218768,25792,270760,101701,42364,137064,19748
2024-02-26 05:07:04,2024-02-25T23:05:52Z,292452,262996,279077,304800,215111,37215,36212,225498,15753,20768,20478,218781,25793,270766,101811,42367,137065,19748
2024-02-26 06:07:03,2024-02-26T00:21:11Z,292452,262996,279077,304800,215111,37215,36212,225498,15753,20768,20478,218781,25793,270766,101811,42367,137065,19748
2024-02-26 07:07:03,2024-02-26T01:27:16Z,292452,262996,279077,304800,215111,37215,36311,225498,15753,20768,20478,218781,25793,270766,101811,42367,137065,19748
2024-02-26 08:07:03,2024-02-26T02:12:19Z,292464,263068,279088,304832,215226,37221,36389,225582,15753,20770,20478,218797,25796,270815,101819,42369,137081,19749
2024-02-26 09:07:03,2024-02-26T03:06:26Z,290491,260525,277898,301959,213360,33764,35122,223554,15016,19896,19809,217561,24898,269773,101130,42327,135313,18010
2024-02-26 10:07:15,2024-02-26T04:06:03Z,291451,261424,278991,303793,214130,33863,35308,224499,15024,19945,19832,218300,24972,270447,101596,42545,135578,18034
2024-02-26 11:07:10,2024-02-26T05:06:08Z,292979,263571,280923,308210,215269,34874,36511,226918,15934,20793,20768,221520,25956,271929,104078,42831,136990,18882
2024-02-26 12:07:11,2024-02-26T06:06:48Z,295694,265920,282872,310981,217406,37303,37175,228013,16544,22646,22594,224464,27059,274953,106199,44648,137503,19849
2024-02-26 13:07:16,2024-02-26T07:06:18Z,296079,267033,283092,312212,217602,37341,37182,229002,16545,22663,22600,224687,27070,275424,106806,44759,137653,20752
2024-02-26 14:07:09,2024-02-26T08:06:49Z,296914,268052,285014,313628,217716,38222,37064,229981,17521,22964,24337,226732,28355,277263,108630,46407,138607,22537
2024-02-26 15:07:08,2024-02-26T09:06:01Z,298816,269294,286211,314965,219630,38579,38793,232156,18496,24671,25322,228409,29653,279199,110981,46468,138731,23427
2024-02-26 16:07:21,2024-02-26T10:06:11Z,298963,268868,287276,315099,219301,35190,37675,231652,15880,20671,20765,224419,25607,277488,107100,44274,138765,19810
2024-02-26 17:07:17,2024-02-26T11:05:35Z,304033,274068,292759,323979,224023,38251,40619,237487,18245,22264,21745,228542,27445,282615,109490,46033,141846,22527
2024-02-26 18:07:10,2024-02-26T12:07:54Z,305700,275962,295681,325839,225211,39031,42453,240227,20072,23925,24478,230522,29660,286605,111081,47412,142649,23793
2024-02-26 19:07:11,2024-02-26T13:05:51Z,306473,276429,295885,327115,226276,39073,43241,241877,20956,24289,24508,231068,30517,286741,111153,47468,142680,24282
2024-02-26 20:07:14,2024-02-26T14:06:04Z,307709,277814,297196,328667,226698,40083,44894,243154,22051,25435,26046,232055,31986,287779,112620,48132,143716,24327
2024-02-26 21:07:14,2024-02-26T15:06:08Z,303981,274179,293737,324852,222546,35461,41375,236875,15148,20500,20089,228961,25597,282111,109357,45127,139561,18890
2024-02-26 22:07:12,2024-02-26T16:06:24Z,304447,274673,294529,325774,223283,35604,41622,237645,15604,20522,20917,229512,25983,282702,109473,45186,140140,19240
2024-02-26 23:07:11,2024-02-26T17:05:57Z,304813,275239,295010,327027,223653,35693,41821,238239,16413,20574,21240,230190,26449,283218,110038,45235,140245,19258
2024-02-27 00:07:11,2024-02-26T18:06:13Z,305064,275607,295221,327554,223960,35733,42417,238663,16871,20574,21249,230448,26465,283495,111288,45273,140821,19270
2024-02-27 01:07:08,2024-02-26T19:05:55Z,305518,275898,295483,327874,224065,35748,43027,238814,16874,20581,21257,230609,26474,283649,111871,45287,140891,19281
2024-02-27 02:07:09,2024-02-26T20:06:02Z,305544,275950,295574,328017,224105,35752,43741,238849,16874,20583,21257,230622,26474,283695,112006,45294,140907,19281
2024-02-27 03:07:06,2024-02-26T21:06:03Z,305575,276037,295660,328181,224131,35756,43817,238906,16874,20584,21259,230646,26474,283748,112083,45302,140920,19286
2024-02-27 04:07:09,2024-02-26T22:06:49Z,305705,276072,295685,328266,224144,35759,43856,238930,16875,20584,21259,230669,26475,283770,112088,45307,140922,19288
2024-02-27 05:07:07,2024-02-26T23:06:09Z,305705,276072,295685,328266,224144,35759,43856,238930,16875,20584,21259,230669,26475,283770,112088,45307,140922,19288
2024-02-27 07:07:06,2024-02-27T00:20:12Z,305813,276098,295712,328291,224194,35767,43861,238958,16875,20584,21259,230680,26477,283830,112100,45307,140933,19288
2024-02-27 08:07:07,2024-02-27T01:25:16Z,305818,276194,295722,328310,224209,35769,43862,238982,16875,20584,21259,230696,26477,283850,112105,45308,140937,19288
2024-02-27 09:07:08,2024-02-27T02:09:55Z,305780,276031,295547,327713,224126,35630,43844,238822,15169,20537,20148,230563,25680,283692,111720,45299,140127,18944
2024-02-27 09:07:08,2024-02-27T03:05:50Z,305780,276031,295547,327713,224126,35630,43844,238822,15169,20537,20148,230563,25680,283692,111720,45299,140127,18944
2024-02-27 10:07:09,2024-02-27T04:06:44Z,305989,276128,295655,327873,224239,36108,44706,239672,16060,21381,21033,230601,26520,283994,112882,45362,140207,19545
2024-02-27 11:07:10,2024-02-27T05:06:51Z,306617,276624,296308,328080,224735,37288,45187,239994,16401,21834,21390,230850,27389,284192,113395,45383,140850,19898
2024-02-27 12:07:10,2024-02-27T06:06:32Z,306666,276768,296387,328233,224822,37297,45160,240225,16403,21836,21392,230896,27395,284296,113464,45408,140868,19902
2024-02-27 13:07:10,2024-02-27T07:06:22Z,307514,276793,296471,328243,225519,37314,46036,240283,17283,21841,21401,230906,27397,284324,113931,45407,141758,19906
2024-02-27 14:07:11,2024-02-27T08:06:31Z,307674,276946,296647,328507,225672,37328,46310,240465,17286,21851,21404,231053,27400,284414,114387,45450,141777,19915
2024-02-27 15:07:21,2024-02-27T09:05:46Z,302545,272590,292127,325265,220401,30782,38873,235776,10836,16397,14969,226789,20050,280395,107449,41704,136443,15666
2024-02-27 16:07:17,2024-02-27T10:06:21Z,303147,272071,293646,327287,219630,28678,36948,235242,9473,13952,13478,226028,17168,280503,106672,40449,134929,13367
2024-02-27 17:07:19,2024-02-27T11:05:40Z,303041,272146,293583,328687,219572,28196,36823,235017,8301,12554,12752,226013,16281,280529,105829,39910,134108,12720
